Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-01002,1,1,1,1
2021-2022,2021-2022-01004,1,1,1,1
2021-2022,2021-2022-01005,1,1,1,1
2021-2022,2021-2022-01006,1,1,1,1
2021-2022,2021-2022-01007,1,1,1,1
2021-2022,2021-2022-01011,1,1,1,1
2021-2022,2021-2022-01014,1,1,1,1
2021-2022,2021-2022-01016,1,1,1,1
2021-2022,2021-2022-01018,1,1,1,1
2021-2022,2021-2022-01019,1,1,1,1
2021-2022,2021-2022-01021,1,1,1,1
2021-2022,2021-2022-01022,1,1,1,1
2021-2022,2021-2022-01023,1,1,1,1
2021-2022,2021-2022-01024,1,1,1,1
2021-2022,2021-2022-01028,2,2,1,2
2021-2022,2021-2022-01029,3,3,2,3
2021-2022,2021-2022-01030,1,2,1,2
2021-2022,2021-2022-01031,1,2,1,2
2021-2022,2021-2022-01032,2,2,2,2
2021-2022,2021-2022-01033,3,2,1,3
2021-2022,2021-2022-01034,1,1,1,1
2021-2022,2021-2022-01035,2,1,1,2
2021-2022,2021-2022-01036,1,1,1,1
2021-2022,2021-2022-01037,1,1,1,1
2021-2022,2021-2022-01039,2,2,2,2
2021-2022,2021-2022-01042,1,1,1,1
2021-2022,2021-2022-01043,1,1,1,1
2021-2022,2021-2022-01045,1,1,1,1
2021-2022,2021-2022-01047,1,1,1,1
2021-2022,2021-2022-01048,1,1,1,1
2021-2022,2021-2022-01049,1,1,1,1
